Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6baN5nSUIVTsUyugSuAj7U,"Main Titles","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,222373,50,false,,2017-11-18T00:32:51Z,"new age","EastWest U.K.",0.215,0.22,4,-19.356,1,0.0456,0.0016,0.262,0.442,0.033,117.476,4
spotify:track:6QnSfJgMbcvwhnodV8Dkgd,"From The Night","No One Is Lost","Stars",2014-10-17,389693,0,false,,2017-11-18T00:32:51Z,"","[PIAS] Australia",0.705,0.568,1,-6.692,1,0.0444,0.00163,0.0048,0.37,0.81,119.99,4
spotify:track:2oDR7QWoLBk9VYMwsFbRGq,"Love Theme","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,295693,55,false,,2017-11-18T00:32:51Z,"new age","EastWest U.K.",0.188,0.12,1,-20.95,1,0.0366,0.572,0.42,0.0933,0.0379,110.244,3
spotify:track:6smJCC2En1iEuN3b9ZQnLX,"Slomo","Slowdive","Slowdive",2017-05-05,413171,0,false,,2017-11-18T00:32:51Z,"shoegaze,dream pop,slowcore","Dead Oceans",0.19,0.702,7,-7.223,1,0.034,0.0557,0.0228,0.13,0.358,107.8,4
spotify:track:2fhd0grWK1qkxxSJ5Y31Ql,"Nanã","Caravelle","Polo & Pan",2017-05-19,190826,0,false,,2017-11-18T00:32:51Z,"french indie pop,french house","Universal Music Group",0.686,0.724,4,-6.441,0,0.0329,0.203,0.0343,0.217,0.412,94.031,3
spotify:track:0d0e19BDc9bSfGI69CZNIC,"Dark And Long - Dark Train","1992 - 2012","Underworld",2014-01-01,653520,0,false,,2017-11-18T00:32:51Z,"big beat,electronica","Universal Music Group",0.572,0.949,10,-8.049,0,0.0468,0.0154,0.788,0.136,0.748,135.006,4
spotify:track:1XSC2yZNqubUY7x66O5P3y,"Everything Always","All Things to the Sea","Ctznshp",2015-04-24,276138,20,false,,2017-11-18T00:32:51Z,"","Ctznshp",0.368,0.913,7,-5.22,1,0.0524,0.0000192,0.0519,0.101,0.228,139.957,4
spotify:track:0cSnUM2fNEx4pAkNfWpdkU,"Blush Response","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,346693,45,false,,2017-11-18T00:32:51Z,"new age","EastWest U.K.",0.207,0.304,2,-19.516,1,0.033,0.42,0.364,0.352,0.0843,97.123,4
spotify:track:0GBAxPHZY81xbNCZcxjcEs,"Bongolia","40 Years of the Incredible Bongo Band","Incredible Bongo Band",1973,135306,45,false,,2017-11-18T00:32:51Z,"breakbeat","Mr Bongo",0.591,0.95,2,-8.754,0,0.0613,0.0173,0.935,0.166,0.846,121.707,4
spotify:track:5XlaNk8zD5YtFwoNdQDC4k,"Sincere - Nero Remix","Sincere (Nero Remix)","MJ Cole",2010-02-15,356173,32,false,,2017-11-18T00:32:51Z,"uk garage,uk funky","Prolific Recordings",0.613,0.72,5,-7.57,0,0.0521,0.00198,0.274,0.103,0.18,139.966,4
spotify:track:5hOwgfWNTMefhS61IMWLHJ,"Me Cuesta Tanto Olvidarte","Esencial Mecano","Mecano",2013-06-18,173280,0,false,,2017-11-18T00:32:51Z,"rock en español,latin pop","Legacy Recordings",0.416,0.284,9,-10.526,1,0.0378,0.946,0.00000146,0.178,0.505,99.539,3
