Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2LKOHdMsL0K9KwcPRlJK2v,"After Dark","Time","Mr.Kitty",2014-10-06,259146,79,false,,1970-01-01T00:00:00Z,"witch house,darkwave","Negative Gain Productions",0.585,0.595,8,-10.444,1,0.0328,0.0696,0.266,0.0837,0.039,140.037,4
spotify:track:7sMWJ91VaBeYXPhdNyYAnP,"Une Lune étrange","Diabolique","L'Epee",2019-09-06,294176,4,false,,1970-01-01T00:00:00Z,"neo-psychedelic","a recordings",0.422,0.586,11,-7.111,1,0.0336,0.00000262,0.829,0.477,0.302,128.249,4
spotify:track:4geKqZSxZdEsCUnMVhSThr,"Don't Get Captured","Run The Jewels 3","Run The Jewels,El-P,Killer Mike",2016-12-25,192226,49,true,,1970-01-01T00:00:00Z,"hip hop,experimental hip hop,southern hip hop,alternative hip hop","Seeker Music",0.761,0.579,1,-7.066,1,0.117,0.0126,0.0000071,0.549,0.226,131.042,4
spotify:track:5YRIDSxRVa1ErAVmjJARcR,"Rocket Fuel (feat. De La Soul)","Our Pathetic Age","DJ Shadow,De La Soul",2019-11-15,195666,55,false,,1970-01-01T00:00:00Z,"trip hop,downtempo,jazz rap,east coast hip hop","Mass Appeal",0.781,0.796,1,-6.95,1,0.111,0.0359,0.219,0.194,0.621,110,4
spotify:track:0RbcDELsGTciLeMGsSdJAc,"Broken Boy","Social Cues","Cage The Elephant",2019-04-19,163200,65,false,,1970-01-01T00:00:00Z,"","RCA Records Label",0.52,0.931,4,-3.051,1,0.0969,0.0018,0.000306,0.115,0.557,166.018,4
spotify:track:5eLSXWSJphV4u3YZCNXySE,"Escape","Escape","Eli Brown",2021-04-02,190866,57,false,,1970-01-01T00:00:00Z,"techno,tech house","Factory 93 Records",0.585,0.879,6,-8.928,0,0.0482,0.000677,0.824,0.0613,0.0454,127.021,4
spotify:track:30o9f0oZ7H76gML7bWGzIG,"LOCA!","LOCA!","Peka",2019-10-11,178118,2,true,,1970-01-01T00:00:00Z,"","Peka Records",0.712,0.705,1,-7.779,1,0.0921,0.00225,0.00809,0.092,0.338,126.033,4
spotify:track:3ArX3tk2z53Kw0YLchwlyk,"Do Betta","Love Me Like","Rayana Jay",2019-03-22,172137,36,true,,1970-01-01T00:00:00Z,"alternative r&b","All Angles / EMPIRE",0.751,0.487,5,-8.855,1,0.248,0.907,0.000307,0.0881,0.495,145.084,4
spotify:track:2MCFfiyUga0F1npTEqhtQJ,"El Cubo","Singles","Calo",2016-10-14,252186,16,false,,1970-01-01T00:00:00Z,"latin pop,retro pop","Universal Music Mexico",0.738,0.959,1,-4.127,1,0.0531,0.00115,0.0421,0.172,0.21,125.15,4
spotify:track:4zwq3QUKgMNk0NSLl7fpbP,"Why Why Why Why Why","5","SAULT",2019-05-05,238679,71,false,,1970-01-01T00:00:00Z,"","Forever Living Originals",0.805,0.61,9,-6.638,0,0.0358,0.343,0.0618,0.112,0.687,114.77,4
