Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1LfmLU7oJ2M7tMZ3viER5r,"Ein feste Burg ist unser Gott BWV 80: Aria and Chorale. Alles was von Gott geboren (Bass Soprano)","Bach J.S.: Cantatas Bwv 80 and 147","Johann Sebastian Bach,Ingrid Kertesi,Jozsef Mukk,Judit Nemeth,Istvan Gati,Hungarian Radio Chorus,Budapest Failoni Chamber Orchestra,Matyas Antal",1992-06-12,215626,13,false,,1970-01-01T00:00:00Z,"classical,classical piano,opera,choral,requiem","Naxos",0.228,0.284,2,-16.328,1,0.0366,0.981,0.0249,0.152,0.607,170.84,4
spotify:track:2nDLZMuPMvHzNtUY2e7nV3,"la luna enamorada","Sin Miedo (del Amor y Otros Demonios) ∞","Kali Uchis",2020-12-04,110526,58,false,,1970-01-01T00:00:00Z,"","EMI / Interscope",0.529,0.239,6,-14.054,0,0.0248,0.873,0.00896,0.098,0.442,75.293,4
spotify:track:6qU1lZDl2xvOhmAR5HSrFk,"Ein feste Burg ist unser Gott BWV 80: Aria. Komm in mein Herzenshaus (Soprano)","Bach J.S.: Cantatas Bwv 80 and 147","Johann Sebastian Bach,Ingrid Kertesi,Jozsef Mukk,Judit Nemeth,Istvan Gati,Hungarian Radio Chorus,Budapest Failoni Chamber Orchestra,Matyas Antal",1992-06-12,223706,16,false,,1970-01-01T00:00:00Z,"classical,classical piano,opera,choral,requiem","Naxos",0.187,0.0607,11,-19.318,0,0.0477,0.984,0.000702,0.0878,0.144,173.961,3
spotify:track:6tQDkU2JWlcBBNmYv472b3,"Modeling Sucks","So...How's Your Girl?","Handsome Boy Modeling School",1999-10-19,62266,29,false,,1970-01-01T00:00:00Z,"trip hop,jazz rap","Tommy Boy Music, LLC",0.611,0.483,8,-7.506,1,0.22,0.104,0.000223,0.624,0.204,77.532,4
spotify:track:0JX23XA8E7aN1Chj32kgVn,"Spitting Off the Edge of the World","Cool It Down","Yeah Yeah Yeahs,Perfume Genius",2022-09-30,257746,72,false,,1970-01-01T00:00:00Z,"indie rock,art pop","Secretly Canadian",0.413,0.722,2,-5.875,1,0.036,0.00342,0.00000313,0.0626,0.0803,109.948,4
spotify:track:1WVJXdju6oNlHzo6ZAc4mp,"Deleters","Deleter","Holy Fuck,Angus Andrew",2020-01-17,193773,39,false,,1970-01-01T00:00:00Z,"","Holy EF Music",0.726,0.766,5,-8.216,1,0.0416,0.0902,0.719,0.0755,0.788,122.037,4
spotify:track:0UvZcEfpzVyx47QsRbjyBz,"El Apagón","Un Verano Sin Ti","Bad Bunny",2022-05-06,201816,74,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,urbano latino,latin","Rimas Entertainment LLC",0.629,0.698,8,-4.485,1,0.308,0.0509,0.00166,0.0909,0.599,117.765,4
spotify:track:0Lbgovqiop10Ax8z2nWQdy,"Ein feste Burg ist unser Gott BWV 80: Recitative. Erwage doch Kind Gottes die so grosse Liebe (Bass)","Bach J.S.: Cantatas Bwv 80 and 147","Johann Sebastian Bach,Ingrid Kertesi,Jozsef Mukk,Judit Nemeth,Istvan Gati,Hungarian Radio Chorus,Budapest Failoni Chamber Orchestra,Matyas Antal",1992-06-12,111626,10,false,,1970-01-01T00:00:00Z,"classical,classical piano,opera,choral,requiem","Naxos",0.28,0.0497,9,-21.498,1,0.0368,0.905,0,0.115,0.158,106.204,1
spotify:track:5YyJ1wACwPFyApmDfHk5WY,"The Base","Banks","Paul Banks",2012-10-22,234986,35,false,,1970-01-01T00:00:00Z,"","Matador",0.507,0.859,4,-6.275,1,0.0383,0.0369,0.0224,0.0765,0.389,94.003,4
spotify:track:5OJkXdRgQPGrbl6aGnGH1G,"vaya con dios","Sin Miedo (del Amor y Otros Demonios) ∞","Kali Uchis",2020-12-04,175539,56,false,,1970-01-01T00:00:00Z,"","EMI / Interscope",0.388,0.594,7,-8.014,1,0.0317,0.0118,0.000143,0.326,0.277,69.367,4
spotify:track:4JtLrFUg0ff2x9TsXCgx76,"Lo Siento BB:/","DATA","Tainy,Bad Bunny,Julieta Venegas",2023-06-29,206343,1,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,urbano latino,latin,latin pop,latin rock","NEON16, LLC",0.646,0.703,4,-6.343,0,0.0777,0.0883,0.0000015,0.0863,0.139,170.091,4
spotify:track:7IIuU9mfgqmGMhzIo3wf1o,"Johannes-Passion BWV 245 Pt. 2: No. 17 Chorale. Ach großer König","Bach J.S.: St. John Passion","Johann Sebastian Bach,Münchener Bach-Orchester,Münchener Bach-Chor,Karl Richter",1964-01-01,114000,5,false,,1970-01-01T00:00:00Z,"classical,classical piano,choral","Deutsche Grammophon (DG)",0.232,0.19,9,-17.476,0,0.0359,0.989,0.756,0.154,0.131,94.131,4
spotify:track:4qFJUZTSVBpiDxG8gO8DNx,"Bunker","BLUSH","PVA",2022-10-14,320629,25,false,,1970-01-01T00:00:00Z,"alternative dance","Ninja Tune",0.552,0.828,5,-6.88,0,0.0306,0.000185,0.735,0.109,0.349,107.018,4
spotify:track:5f3EtD85N6tTekD3HVja4j,"No Soy Un Extraño","Clics Modernos","Charly García",1983-11-05,195733,56,false,,1970-01-01T00:00:00Z,"argentine rock,latin rock,rock en español","Universal Music Argentina S.A.",0.7,0.707,7,-9.896,0,0.0305,0.288,0.0166,0.325,0.641,117.183,4
spotify:track:6Kz9jtds8l4zfZ4gNOJ6l1,"Ladies and Gentlemen","Night Works","Layo,Bushwacka!",2002,78933,31,false,,1970-01-01T00:00:00Z,"","XL Recordings",0.772,0.779,2,-8.05,1,0.0666,0.0255,0.576,0.14,0.857,117.969,4
spotify:track:0SKfoQ9QGPAwtCITJmbs1I,"Ein feste Burg ist unser Gott BWV 80: Aria. Wie selig sind doch die die Gott im Munde tragen (Alto Tenor)","Bach J.S.: Cantatas Bwv 80 and 147","Johann Sebastian Bach,Ingrid Kertesi,Jozsef Mukk,Judit Nemeth,Istvan Gati,Hungarian Radio Chorus,Budapest Failoni Chamber Orchestra,Matyas Antal",1992-06-12,213346,8,false,,1970-01-01T00:00:00Z,"classical,classical piano,opera,choral,requiem","Naxos",0.146,0.161,7,-20.075,1,0.0445,0.891,0.000993,0.454,0.386,82.649,3
