Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1siDRjAa8MdxNoCHTiiQ7B,"Been Around the World (feat. The Notorious B.I.G. & Mase)","No Way Out","Puff Daddy & The Family,The Notorious B.I.G.,Mase",1997,325933,57,true,,2020-11-27T11:24:45Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.815,0.529,6,-10.117,0,0.28,0.0191,0,0.406,0.73,99.439,4
spotify:track:3oHkMCVJyOcjg5FhfLc2Rq,"A$AP Forever REMIX (feat. Moby T.I. & Kid Cudi)","TESTING","A$AP Rocky,Moby,T.I.,Kid Cudi",2018-05-25,315773,62,true,,2020-11-27T11:24:45Z,"rap,downtempo,trip hop,southern hip hop","A$AP Worldwide/Polo Grounds Music/RCA Records",0.428,0.754,5,-6.416,0,0.179,0.3,0,0.136,0.394,125.948,4
spotify:track:2aJDlirz6v2a4HREki98cP,"Glue","Bicep","BICEP",2017-09-01,269149,75,false,,2020-11-27T11:24:45Z,"","Ninja Tune",0.853,0.798,4,-7.995,0,0.068,0.0158,0.948,0.0967,0.42,129.983,4
spotify:track:58ylMBq2yqYdHyevarkNWa,"I Guess I'll Hang My Tears Out To Dry - Rudy Van Gelder Edition / Remastered 1999","Go! (The Rudy Van Gelder Edition)","Dexter Gordon",1962,322000,51,false,,2020-11-27T11:24:45Z,"hard bop,jazz,bebop,cool jazz","Blue Note Records",0.524,0.222,3,-8.967,1,0.0346,0.907,0.00124,0.0544,0.325,120.71,4
spotify:track:2haIfONRw1Bhi2zSp67MYU,"Aries (feat. Peter Hook and Georgia)","Song Machine Episode 3","Gorillaz,Peter Hook,Georgia",2020-04-09,253333,45,false,,2020-11-27T11:24:45Z,"madchester,acid house,chicago house","Parlophone UK",0.611,0.667,2,-7.801,1,0.0342,0.0175,0.0844,0.241,0.793,119.996,4
spotify:track:78cpNYM0hfREiFZchF8Gdp,"Extended Dance Mix","Fujiya & Miyagi","Fujiya & Miyagi",2017-04-07,350799,0,false,,2020-11-27T11:24:45Z,"krautrock,alternative dance","Impossible Objects of Desire",0.683,0.736,4,-10.244,1,0.0355,0.00607,0.559,0.103,0.817,122.991,4
spotify:track:0lAYz4Ff9zEfkpIZRuhY4v,"Voyage Libre (feat. LouLou Ghelichkhani)","Treasures from the Temple","Thievery Corporation,Loulou Ghelichkhani",2018-04-20,235254,0,false,,2020-11-27T11:24:45Z,"trip hop,downtempo,acid jazz,lounge,nu jazz","Primary Wave/ESL",0.692,0.613,0,-8.399,1,0.051,0.00192,0.408,0.0874,0.945,123.985,4
spotify:track:3nIjf02LV4Rxcy0P4PFqDT,"Stay","Stay","The Blessed Madonna",2014-10-30,504267,30,false,,2020-11-27T11:24:45Z,"","The Nite Owl Diner",0.702,0.744,1,-7.626,1,0.0305,0.0814,0.00112,0.127,0.0928,114.998,4
spotify:track:573QfkAwdbCY4rSIHA04LR,"Oh Mandy","Nice And Nicely Done","The Spinto Band",2005-01-01,215306,39,false,,2020-11-27T11:24:45Z,"","Radiate",0.509,0.955,2,-3.918,1,0.0396,0.0521,0.00021,0.105,0.557,137.063,4
spotify:track:3Ld6Df2I56FQqKMku8G2li,"A Lovely Change","AOD","Tiger & Woods",2019-04-12,252050,18,false,,2020-11-27T11:24:45Z,"nu disco,italo disco,disco house","Running Back",0.677,0.87,8,-9.409,0,0.0568,0.00854,0.881,0.118,0.761,102.999,4
